DATE,NAME.COMP,STATUS,M.Type,ROUND,MAP,Points,ID.BATTLENET1,Tier1,RACE1,R.L1,R.L2,R.R2,R.R1,ID.BATTLENET2,Tier2,RACE2,Points,R,REMARK,REMARK2
24.08.15,1st Tier 3&4 Winning Stk.,O,I,6,F.S,,AX_Jangbi(P),3,P,,,1,1,AX_Romantic(T),2,T,,T,,indiv.
24.08.15,1st Tier 3&4 Winning Stk.,O,I,F,F.S,,AX_Sun(P),3,P,,,1,1,AX_Romantic(T),2,T,,T,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,1,F.S,,AX_Automata(T),1,T,,,1,1,AX_[A](Z),1,Z,,Z,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,2,F.S,,AX_[A](Z),1,Z,0,1,0,0,AX_HI.M(Z),1,Z,,Z,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,3,F.S,,AX_[A](Z),1,Z,,,1,1,AX_DiHing(P),1,P,,P,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,4,F.S,,AX_6666+(Z),0,Z,,,1,1,AX_DiHing(P),1,P,,P,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,5,F.S,,AX_DiHing(P),1,P,1,1,,,AX_rieofk.(T),1,T,,P,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,6,F.S,,AX_HYUNDAI(Z),0,Z,1,1,,,AX_DiHing(P),1,P,,Z,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,7,F.S,,AX_Apple(T),1,T,,,1,1,AX_HYUNDAI(Z),0,Z,,Z,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,8,F.S,,AX_HYUNDAI(Z),0,Z,1,1,,,AX_RorA[](P),1,P,,Z,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,9,F.S,,AX_HYUNDAI(Z),0,Z,1,1,,,AX_OceAn(P),1,P,,Z,,indiv.
24.08.15,1st Tier 1 Winning Stk.,O,I,F,F.S,,AX_ewrtf(Z),1,Z,0,0,1,0,AX_HYUNDAI(Z),0,Z,,Z,,indiv.
24.08.17,1st Race Champ.,O,T,1,F.S,1,AX_HI.M(Z),1,Z,1,1,,,AX_Main(P),2,P,0,Z,,RACECHAMP
24.08.17,1st Race Champ.,O,T,2,F.S,0,AX_HyeonMin(T),2,T,,,1,1,AX_HI.M(Z),1,Z,,Z,,RACECHAMP
24.08.17,1st Race Champ.,O,T,3,F.S,,AX_HI.M(Z),1,Z,1,1,,,AX_Black(P),3,P,0,Z,,RACECHAMP
24.08.17,1st Race Champ.,O,T,4,F.S,0,AX_Nami(T),2,T,,,1,1,AX_HI.M(Z),1,Z,,Z,,RACECHAMP
24.08.17,1st Race Champ.,O,T,5,F.S,,AX_HI.M(Z),1,Z,1,1,,,AX_RorA[](P),1,P,0,Z,,RACECHAMP
24.08.17,1st Race Champ.,O,T,F,F.S,0,AX_RpoinT(T),1,T,,,1,1,AX_HI.M(Z),1,Z,,Z,,RACECHAMP
24.08.18,1st Master's Tournament -Quarter,O,I,1,F.S,,AX_Taeyeon(T),1,T,1,1,,,AX_Busan(Z),1,Z,,T,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,2,F.S,,AX_Taeyeon(T),1,T,1,1,,,AX_Busan(Z),1,Z,,T,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,1,F.S,,AX_6666+(Z),1,Z,,,1,1,AX_ori(P),1,P,,P,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,2,F.S,,AX_6666+(Z),1,Z,,,1,1,AX_ori(P),1,P,,P,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,1,F.S,,Ax_Nam.9(T),1,T,1,1,,,AX_DiHing(Z),1,Z,,T,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,2,F.S,,Ax_Nam.9(T),1,T,1,1,,,AX_DiHing(Z),1,Z,,T,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,1,F.S,,AX_JoJo(P),1,P,,,1,1,AX_zoil(T),0,T,,T,,indiv.
24.08.18,1st Master's Tournament -Quarter,O,I,2,F.S,,AX_JoJo(P),1,P,,,1,1,AX_zoil(T),0,T,,T,,indiv.
24.08.18,1st Master's Tournament -Semi,O,I,1,F.S,,AX_ori(P),1,P,,,1,1,AX_Taeyeon(T),1,T,,T,,indiv.
24.08.18,1st Master's Tournament -Semi,O,I,2,Poly,,AX_ori(P),1,P,1,1,,,AX_Taeyeon(T),1,T,,P,,indiv.
24.08.18,1st Master's Tournament -Semi,O,I,3,F.S,,AX_ori(P),1,P,1,1,,,AX_Taeyeon(T),1,T,,P,,indiv.
24.08.18,1st Master's Tournament -Semi,O,I,1,F.S,,Ax_Nam.9(T),1,T,0,0,1,0,AX_zoil(T),0,T,,T,,indiv.
24.08.18,1st Master's Tournament -Semi,O,I,2,Poly,,Ax_Nam.9(T),1,T,0,1,0,0,AX_zoil(T),0,T,,T,,indiv.
24.08.18,1st Master's Tournament -Semi,O,I,3,F.S,,Ax_Nam.9(T),1,T,0,0,1,0,AX_zoil(T),0,T,,T,,indiv.
24.08.18,1st Master's Tournament -Final,O,I,1,F.S,,AX_ori(P),1,P,1,1,,,AX_zoil(T),0,T,,P,,indiv.
24.08.18,1st Master's Tournament -Final,O,I,2,Poly,,AX_ori(P),1,P,1,1,,,AX_zoil(T),0,T,,P,,indiv.
24.08.18,1st Master's Tournament -Final,O,I,3,F.S,,AX_ori(P),1,P,1,1,,,AX_zoil(T),0,T,,P,,indiv.
24.08.19,1st AX Match,U,T,1,F.S,1,AX_HI.M(Z),1,Z,,,1,1,AX_DolphiN(P),1,P,0,P,,COMPOSE/MEGA
24.08.19,1st AX Match,U,T,2,F.S,0,AX_zoil(T),0,T,,,1,1,AX_Salgu(Z),0,Z,1,Z,,COMPOSE/MEGA
24.08.19,1st AX Match,U,T,3,F.S,0,AX_Romantic(T),2,T,,,1,1,AX_SKY(Z),3,Z,1,Z,,COMPOSE/MEGA
24.08.19,1st AX Match,U,T,4,F.S,0,AX_Navy(T),2,T,,,1,1,AX_SO(Z),3,Z,1,Z,,COMPOSE/MEGA
24.08.19,1st AX Match,U,T,F,F.S,0,AX_Black(P),3,P,,,1,1,AX_Krog(T),2,T,1,T,,COMPOSE/MEGA
24.08.20,2nd AX Match,U,T,1,F.S,1,AX_OceAn(P),1,P,1,1,,,Ax_Nam.9(T),1,T,0,P,,COMPOSE/MEGA
24.08.20,2nd AX Match,U,T,2,F.S,0,AX_ewrtf(Z),1,Z,,,1,1,AX_ori(P),0,P,1,P,,COMPOSE/MEGA
24.08.20,2nd AX Match,U,T,3,F.S,0,AX_SO(Z),3,Z,1,1,,,AX_Sun(P),3,P,1,Z,,COMPOSE/MEGA
24.08.20,2nd AX Match,U,T,4,F.S,1,AX_kimsin(P),3,P,1,1,,,AX_KingChob(T),3,T,0,P,,COMPOSE/MEGA
24.08.22,1st AX Winners,U,I,1,F.S,0,AX_BOSL(P),3,P,1,1,,,AX_zxc(T),4,T,1,P,,indiv.
24.08.22,1st AX Winners,U,I,2,F.S,1,AX_GoGo(Z),2,Z,1,1,,,AX_BOSL(P),3,P,,Z,,indiv.
24.08.22,1st AX Winners,U,I,3,F.S,,AX_GoGo(Z),2,Z,1,1,,,AX_kimsin(P),3,P,0,Z,,indiv.
24.08.22,1st AX Winners,U,I,4,F.S,,AX_GoGo(Z),2,Z,0,1,0,0,AX_pig(Z),2,Z,0,Z,,indiv.
24.08.22,1st AX Winners,U,I,5,F.S,0,AX_[A](Z),1,Z,0,1,0,0,AX_GoGo(Z),2,Z,,Z,,indiv.
24.08.22,1st AX Winners,U,I,6,F.S,1,AX_Krog(T),2,T,,,1,1,AX_[A](Z),1,Z,,Z,,indiv.
24.08.22,1st AX Winners,U,I,7,F.S,1,AX_Romantic(T),1,T,1,1,,,AX_[A](Z),1,Z,,T,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,1,F.S,,AX_SO(Z),3,Z,1,1,,,AX_[A](P),1,P,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,2,F.S,,AX_SO(Z),3,Z,1,1,,,EMP,3,P,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,3,F.S,,AX_Navy(T),2,T,,,1,1,AX_SO(Z),3,Z,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,4,F.S,,AX_SO(Z),3,Z,1,1,,,AX_DiHing(P),1,P,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,F,F.S,,AX_ZzaZang(T),0,T,,,1,1,AX_SO(Z),3,Z,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,1,F.S,,AX_KingChob(T),3,T,,,1,1,AX_ELEC(Z),2,Z,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,2,F.S,,AX_ELEC(Z),2,Z,1,1,,,AX_0dotoss(P),3,P,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,3,F.S,,AX_Krog(T),2,T,,,1,1,AX_ELEC(Z),2,Z,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,4,F.S,,Ax_Nam.9(T),1,T,1,1,,,AX_ELEC(Z),2,Z,,T,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,5,F.S,,Ax_Nam.9(T),1,T,,,1,1,AX_SKY(Z),3,Z,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,6,F.S,,AX_Romantic(T),1,T,,,1,1,AX_SKY(Z),3,Z,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,7,F.S,,AX_SKY(Z),3,Z,,,1,1,AX_kimsin(P),3,P,,P,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,8,F.S,,AX_6666+(Z),1,Z,1,1,,,AX_kimsin(P),3,P,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,9,F.S,,AX_6666+(Z),1,Z,1,1,,,EMP,3,P,,Z,,indiv.
24.08.24,2nd A cup(W Stk.) Handi,O,I,F,F.S,,AX_[A](Z),1,Z,1,1,,,AX_6666+(P),0,P,,Z,,indiv.
24.08.25,2nd Race Champ.,O,T,1,F.S,1,AX_series(Z),3,Z,1,1,,,AX_BOSL(P),3,P,0,Z,,RACECHAMP
24.08.25,2nd Race Champ.,O,T,2,F.S,0,AX_MIBUN(T),3,T,1,1,,,AX_series(Z),3,Z,,T,,RACECHAMP
24.08.25,2nd Race Champ.,O,T,3,F.S,0,AX_SLiN(P),2,P,1,1,,,AX_MIBUN(T),3,T,,P,,RACECHAMP
24.08.25,2nd Race Champ.,O,T,4,F.S,1,AX_pig(Z),2,Z,1,1,,,AX_SLiN(P),2,P,,Z,,RACECHAMP
24.08.25,2nd Race Champ.,O,T,5,F.S,0,AX_Krog(T),2,T,,,1,1,AX_pig(Z),2,Z,,Z,,RACECHAMP
24.08.25,2nd Race Champ.,O,T,6,F.S,,AX_pig(Z),2,Z,1,1,,,AX_DolphiN(P),1,P,0,Z,,RACECHAMP
24.08.25,2nd Race Champ.,O,T,F,Poly,0,AX_Romantic(T),1,T,,,1,1,AX_pig(Z),2,Z,,Z,,RACECHAMP
24.08.31,1st COMPOSE,O,T,1,Poly,0,AX_juneng_51(Z),4,Z,,,1,1,AX_kimsin(P),3,P,1,P,,COMPOSE/MEGA
24.08.31,1st COMPOSE,O,T,2,F.S,0,AX_SuShi(Z),2,Z,1,1,,,AX_Sun(P),3,P,1,Z,,COMPOSE/MEGA
24.08.31,1st COMPOSE,O,T,3,F.S,0,AX_HI.M(Z),1,Z,,,1,1,AX_DiHing(P),1,P,1,P,,COMPOSE/MEGA
24.08.31,1st COMPOSE,O,T,4,F.S,0,Ax_Nam.9(T),1,T,,,1,1,AX_6666+(Z),1,Z,1,Z,,COMPOSE/MEGA
24.08.31,1st COMPOSE,O,T,5,Poly,0,AX_Salgu(Z),0,Z,1,1,,,AX_RorA[](P),1,P,1,Z,,COMPOSE/MEGA
24.08.31,1st COMPOSE,O,T,F,Poly,0,AX_[A](Z),1,Z,,,1,1,AX_Lego(P),1,P,1,P,,COMPOSE/MEGA
24.09.01,1st Rival Match,O,I,1,F.S,,AX_BOSL(P),3,P,,,1,1,AX_NA_Moo(T),4,T,,T,,indiv.
24.09.01,1st Rival Match,O,I,2,F.S,,AX_BOSL(P),3,P,1,1,,,AX_NA_Moo(T),4,T,,P,,indiv.
24.09.01,1st Rival Match,O,I,3,F.S,,AX_BOSL(P),3,P,1,1,,,AX_NA_Moo(T),4,T,,P,,indiv.
24.09.01,1st Rival Match,O,I,1,F.S,,AX_GoGo(Z),2,Z,,,1,1,AX_Salgu(P),1,P,,P,,indiv.
24.09.01,1st Rival Match,O,I,2,F.S,,AX_GoGo(Z),2,Z,1,1,,,AX_Salgu(P),1,P,,Z,,indiv.
24.09.01,1st Rival Match,O,I,3,F.S,,AX_GoGo(Z),2,Z,1,1,,,AX_Salgu(P),1,P,,Z,,indiv.
24.09.01,1st Rival Match,O,I,1,F.S,,AX_ori(P),0,P,1,1,,,AX_zoil(T),0,T,,P,,indiv.
24.09.01,1st Rival Match,O,I,2,Poly,,AX_ori(P),0,P,1,1,,,AX_zoil(T),0,T,,P,,indiv.
24.09.02,2nd COMPOSE,O,T,1,Poly,1,AX_WiFi(Z),1,Z,1,1,,,AX_Lego(P),1,P,0,Z,,COMPOSE/MEGA
24.09.02,2nd COMPOSE,O,T,2,F.S,1,AX_SO(Z),3,Z,1,1,,,AX_Sun(P),3,P,0,Z,,COMPOSE/MEGA
24.09.02,2nd COMPOSE,O,T,3,F.S,0,AX_Eugene(T),3,T,,,1,1,AX_pig(Z),2,Z,1,Z,,COMPOSE/MEGA
24.09.02,2nd COMPOSE,O,T,4,F.S,1,AX_JoJo(P),1,P,0,0,1,0,AX_OceAn(P),1,P,0,P,,COMPOSE/MEGA
24.09.02,2nd COMPOSE,O,T,5,F.S,1,AX_series(Z),3,Z,,,1,1,AX_kimsin(P),3,P,0,P,,COMPOSE/MEGA
24.09.02,2nd COMPOSE,O,T,6,Poly,0,AX_RorA[](P),1,P,1,1,,,Ax_Nam.9(T),1,T,1,P,,COMPOSE/MEGA
24.09.02,2nd COMPOSE,O,T,ACE,Poly,,AX_WiFi(Z),1,Z,1,1,,,AX_Lego(P),1,P,,Z,,COMPOSE/MEGA
24.09.04,AXvsTPZ,O,T,1,Poly,1,TPZ_SSAL&BAB,1,T,1,1,,,AX_series(Z),3,Z,0,T,,AX EXT Match
24.09.04,AXvsTPZ,O,T,2,Poly,1,TPZ_TP,1,Z,,,1,1,AX_DolphiN(P),1,P,0,P,,AX EXT Match
24.09.04,AXvsTPZ,O,T,3,Poly,1,AX_KIKI(T),1,T,1,1,,,AX_ELEC(Z),2,Z,0,T,,AX EXT Match
24.09.04,AXvsTPZ,O,T,4,Poly,1,TPZ_COMEBACK,1,T,1,1,,,AX_[A](Z),1,Z,0,T,,AX EXT Match
24.09.04,AXvsTPZ,O,T,F,Poly,1,TPZ_FIREBAIL,1,P,1,1,,,AX_Krog(T),2,T,0,P,,AX EXT Match
24.09.04,AXvsTPZ,O,T,6,Poly,0,AX_MIBUN(T),3,T,,,1,1,TPZ_SCYUN125,1,Z,1,Z,,AX EXT Match
24.09.06,3rd Race Champ.,O,T,1,F.S,0,AX_Sun(P),3,P,,,1,1,AX_MIBUN(T),3,T,1,T,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,2,Poly,,AX_MIBUN(T),3,T,,,1,1,AX_SO(Z),3,Z,0,Z,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,3,F.S,,AX_SO(Z),3,Z,,,1,1,AX_SLiN(P),2,P,0,P,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,4,Poly,,AX_SLiN(P),2,P,1,1,,,AX_Krog(T),2,T,1,P,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,5,F.S,0,AX_SuShi(Z),2,Z,,,1,1,AX_SLiN(P),2,P,,P,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,6,Poly,,AX_SLiN(P),2,P,,,1,1,AX_CoNG(T),1,T,1,T,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,7,F.S,,AX_CoNG(T),1,T,1,1,,,AX_Busan(Z),1,Z,0,T,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,8,Poly,0,Ax_Lego(P),1,P,,,1,1,AX_CoNG(T),1,T,,T,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,9,F.S,,AX_CoNG(T),1,T,,,1,1,AX_ewrtf(Z),1,Z,0,Z,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,10,F.S,,AX_ewrtf(Z),1,Z,1,1,,,AX_RorA[](P),1,P,0,Z,,RACECHAMP
24.09.06,3rd Race Champ.,O,T,F,F.S,1,Ax_Nam.9(T),1,T,1,1,,,AX_ewrtf(Z),1,Z,,T,,RACECHAMP
24.09.09,3rd COMPOSE,O,T,1,F.S,1,AX_CALM(Z),2,Z,1,1,,,AX_Shairu(P),2,P,0,Z,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,2,F.S,1,Ax_Lego(T),3,T,1,1,,,AX_BOSL(Z),3,Z,0,T,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,3,F.S,1,AX_Sun(P),3,P,,,1,1,AX_Krog(T),2,T,0,T,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,4,F.S,1,AX_RorA[](P),1,P,,,1,1,AX_CoNG(T),1,T,0,T,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,5,Poly,0,AX_Romantic(T),1,T,1,1,,,AX_Salgu(Z),0,Z,1,T,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,6,F.S,1,AX_kimsin(P),2,P,0,0,1,0,AX_JoJo(P),1,P,0,P,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,7,F.S,0,AX_GoGo(Z),2,Z,,,1,1,AX_OceAn(P),1,P,1,P,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,8,F.S,1,AX_Sun(P),3,P,1,1,,,AX_BOSL(T),3,T,0,P,,COMPOSE/MEGA
24.09.09,3rd COMPOSE,O,T,ACE,Poly,,AX_CALM(Z),2,Z,0,1,0,0,AX_GoGo(Z),2,Z,,Z,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,1,F.S,0,AX_Black(P),3,P,,,1,1,AX_No.9(T),4,T,1,T,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,2,Poly,1,AX_MaLLo(P),1,P,,,1,1,AX_T-style(T),1,T,0,T,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,3,F.S,1,AX_OceAn(P),1,P,1,1,,,AX_Romantic(T),1,T,0,P,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,4,F.S,0,AX_SuShi(Z),2,Z,1,1,,,AX_Sun(P),3,P,1,Z,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,5,Poly,1,AX_ELEC(Z),2,Z,,,1,1,AX_Shairu(P),2,P,0,P,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,6,F.S,1,Ax_Nam.9(T),1,T,1,1,,,AX_CALM(Z),2,Z,0,T,,COMPOSE/MEGA
24.09.11,4th COMPOSE,O,T,ACE,F.S,,AX_CALM(Z),2,Z,0,0,1,0,AX_ELEC(Z),2,Z,,Z,,COMPOSE/MEGA
24.09.12,4th Race Champ.,O,T,1,F.S,0,AX_Sun(P),3,P,,,1,1,AX_No.9(T),3,T,1,T,,RACECHAMP
24.09.12,4th Race Champ.,O,T,2,Poly,,AX_No.9(T),3,T,,,1,1,AX_CALM(Z),2,Z,0,Z,,RACECHAMP
24.09.12,4th Race Champ.,O,T,3,F.S,,AX_CALM(Z),2,Z,,,1,1,AX_OceAn(P),1,P,0,P,,RACECHAMP
24.09.12,4th Race Champ.,O,T,4,Poly,,AX_OceAn(P),1,P,,,1,1,AX_Romantic(T),1,T,1,T,,RACECHAMP
24.09.12,4th Race Champ.,O,T,5,F.S,,AX_Romantic(T),1,T,1,1,,,AX_SKY(Z),2,Z,0,T,,RACECHAMP
24.09.12,4th Race Champ.,O,T,6,Poly,0,AX_DolphiN(P),1,P,1,1,,,AX_Romantic(T),1,T,,P,,RACECHAMP
24.09.12,4th Race Champ.,O,T,7,Poly,0,AX_Salgu(Z),0,Z,1,1,,,AX_DolphiN(P),1,P,,Z,,RACECHAMP
24.09.12,4th Race Champ.,O,T,F,Poly,1,AX_CoNG(T),1,T,1,1,,,AX_Salgu(Z),0,Z,,T,,RACECHAMP
24.09.13,5th COMPOSE,O,T,1,F.S,0,AX_Roamgrang(T),1,T,,,1,1,AX_ewrtf(Z),1,Z,1,Z,,COMPOSE/MEGA
24.09.13,5th COMPOSE,O,T,2,F.S,0,AX_Black(P),3,P,,,1,1,AX_Romantic(T),1,T,1,T,,COMPOSE/MEGA
24.09.13,5th COMPOSE,O,T,3,Poly,1,AX_Sun(P),3,P,1,1,,,AX_Krog(T),2,T,0,P,,COMPOSE/MEGA
24.09.13,5th COMPOSE,O,T,4,Poly,1,Ax_Lego(P),1,P,,,1,1,AX_CoNG(T),0,T,0,T,,COMPOSE/MEGA
24.09.13,5th COMPOSE,O,T,5,F.S,1,AX_SuShi(Z),2,Z,,,1,1,AX_OceAn(P),1,P,0,P,,COMPOSE/MEGA
24.09.13,5th COMPOSE,O,T,F,F.S,1,AX_Busan(Z),1,Z,1,1,,,AX_Shairu(P),2,P,0,Z,,COMPOSE/MEGA
24.09.14,1st P v T Ult. Match,O,T,1,F.S,1,AX_HariMao(P),1,P,,,1,1,AX_Aktmzm20(T),,T,0,T,,COMPOSE/MEGA
24.09.14,1st P v T Ult. Match,O,T,2,F.S,1,AX_0dotoss(P),3,P,1,1,,,AX_BokDaeng2(T),3,T,0,P,,COMPOSE/MEGA
24.09.14,1st P v T Ult. Match,O,T,3,F.S,1,AX_SLiN(P),2,P,1,1,,,AX_Krog(T),2,T,0,P,,COMPOSE/MEGA
24.09.14,1st P v T Ult. Match,O,T,4,Poly,1,AX_OceAn(P),1,P,1,1,,,AX_Romantic(T),1,T,0,P,,COMPOSE/MEGA
24.09.14,1st P v T Ult. Match,O,T,5,Poly,1,AX_Sun(P),3,P,1,1,,,AX_Navy(T),2,T,0,P,,COMPOSE/MEGA
24.09.14,1st P v T Ult. Match,O,T,F,F.S,1,AX_Black(P),3,P,1,1,,,AX_JiHeon(T),4,T,0,P,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,1,F.S,0,Ax_Nam.9(T),1,T,,,1,1,AX_HI.M(Z),1,Z,1,Z,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,2,Poly,1,AX_GoGo(Z),2,Z,,,1,1,AX_Aktmzm20(P),2,P,0,P,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,3,Poly,0,AX_WiFi(Z),1,Z,1,1,,,AX_Lego(P),1,P,1,Z,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,4,Poly,0,AX_DolphiN(P),1,P,,,1,1,AX_CoNG(T),0,T,1,T,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,5,F.S,1,AX_ewrtf(Z),1,Z,0,1,0,0,AX_SKY(Z),2,Z,0,Z,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,6,F.S,0,AX_OceAn(P),1,P,1,1,,,AX_Navy(T),2,T,1,P,,COMPOSE/MEGA
24.09.14,6th COMPOSE,O,T,ACE,F.S,,AX_OceAn(P),1,P,,,1,1,AX_CoNG(T),0,T,,T,,COMPOSE/MEGA
24.09.15,1st PRO League,O,T,1,F.S,0,AX_JiHeon(T),4,T,,,1,1,AX_SuShi(Z),2,Z,1,Z,,COMPOSE/MEGA
24.09.15,1st PRO League,O,T,2,Poly,0,Ax_Lego(P),1,P,,,1,1,AX_KIKI(T),1,T,1,T,,COMPOSE/MEGA
24.09.15,1st PRO League,O,T,3,F.S,1,AX_ewrtf(Z),1,Z,,,1,1,AX_SLiN(P),2,P,0,P,,COMPOSE/MEGA
24.09.15,1st PRO League,O,T,4,Poly,0,AX_6666+(P),0,P,,,1,1,AX_CoNG(T),0,T,1,T,,COMPOSE/MEGA
